area_type,availability,location,size,society,total_sqft,bath,balcony,price,total_sqft_num,BHK,Price_per_SqFt
Built-up  Area,Ready To Move,Old Airport Road,3 BHK,Prrscly,1100 - 1500,2.0,3.0,388.0129139418881,1300.0,3,29847.147226299083
Built-up  Area,19-May,Electronic City Phase II,3 Bedroom,,1056,5.0,1.0,149.94888550642213,1056.0,3,14199.705066896035
Carpet  Area,18-Dec,Chikka Tirupathi,1 BHK,,1310,3.0,3.0,176.70170770255095,1310.0,1,13488.679977293967
Super built-up  Area,Ready To Move,Uttarahalli,4 Bedroom,Theanmp,1521,5.0,3.0,85.41116867755824,1521.0,4,5615.461451515991
Super built-up  Area,19-May,Electronic City Phase II,6 Bedroom,Mainpro,2600,3.0,1.0,169.45382210425544,2600.0,6,6517.454696317517
Carpet  Area,19-May,Chikka Tirupathi,3 BHK,,2700,5.0,1.0,149.4032252120511,2700.0,3,5533.452785631523
Carpet  Area,19-May,Chikka Tirupathi,6 Bedroom,Prrscly,1521,1.0,0.0,255.5592945966448,1521.0,6,16802.057501423064
Built-up  Area,19-May,Electronic City Phase II,3 Bedroom,SollyCl,1206,3.0,1.0,91.7348014778263,1206.0,3,7606.534119222744
Super built-up  Area,Ready To Move,Whitefield,6 Bedroom,Coomege ,1206,1.0,1.0,231.6678967076629,1206.0,6,19209.610008927273
Super built-up  Area,18-Dec,Kothanur,3 BHK,,1206,4.0,2.0,133.84295243662675,1206.0,3,11098.088925093427
Plot  Area,18-Dec,Old Airport Road,6 Bedroom,Mainpro,1100 - 1500,2.0,2.0,194.9087663406284,1300.0,6,14992.982026202186
Built-up  Area,18-Apr,Old Airport Road,6 Bedroom,Coomege ,1056,4.0,1.0,70.02558389066265,1056.0,6,6631.210595706691
Super built-up  Area,18-Apr,Uttarahalli,3 BHK,Prrscly,2600,2.0,0.0,288.470710726795,2600.0,3,11095.027335645962
Built-up  Area,18-Dec,Lingadheeranahalli,4 Bedroom,Theanmp,1521,5.0,1.0,91.84097303360234,1521.0,4,6038.196780644466
Carpet  Area,Ready To Move,Electronic City Phase II,3 Bedroom,Coomege ,1100 - 1500,1.0,0.0,302.57250886189127,1300.0,3,23274.808373991636
Plot  Area,19-May,Rajaji Nagar,1 BHK,Theanmp,1100 - 1500,2.0,3.0,45.49657441543688,1300.0,1,3499.7364934951447
Plot  Area,18-Apr,Kothanur,4 Bedroom,Theanmp,2600,2.0,1.0,119.3868275880222,2600.0,4,4591.801061077777
Built-up  Area,18-Dec,Old Airport Road,4 Bedroom,Prrscly,2700,3.0,0.0,111.78499636050356,2700.0,4,4140.18505038902
Carpet  Area,18-Dec,Lingadheeranahalli,1 BHK,Coomege ,1440,2.0,3.0,158.96370775721027,1440.0,1,11039.14637202849
Super built-up  Area,18-Apr,Rajaji Nagar,3 Bedroom,Theanmp,1310,5.0,1.0,322.1931454355964,1310.0,3,24594.89659813713
Plot  Area,18-Apr,Kothanur,4 Bedroom,Theanmp,2600,1.0,3.0,283.98733510566274,2600.0,4,10922.58981175626
Super built-up  Area,Ready To Move,Chikka Tirupathi,4 BHK,Theanmp,1056,3.0,1.0,62.43387580933948,1056.0,4,5912.29884558139
Carpet  Area,19-May,Electronic City Phase II,3 Bedroom,Coomege ,1056,4.0,0.0,279.35887554088725,1056.0,3,26454.438971674932
Built-up  Area,18-Dec,Old Airport Road,1 BHK,Theanmp,1440,1.0,0.0,34.641483368790226,1440.0,1,2405.658567277099
Built-up  Area,18-Apr,Chikka Tirupathi,6 Bedroom,SollyCl,1056,5.0,3.0,322.8186262901885,1056.0,6,30569.945671419366
Built-up  Area,19-May,Old Airport Road,4 BHK,Theanmp,1521,5.0,0.0,377.1499873946797,1521.0,4,24796.185890511486
Plot  Area,Ready To Move,Electronic City Phase II,4 Bedroom,Prrscly,2700,2.0,0.0,201.6384660457492,2700.0,4,7468.091335027748
Built-up  Area,19-May,Whitefield,6 Bedroom,Mainpro,1310,1.0,1.0,244.211798705117,1310.0,6,18642.122038558548
Carpet  Area,Ready To Move,Kothanur,4 BHK,SollyCl,1440,3.0,3.0,84.20059835873775,1440.0,4,5847.263774912344
Super built-up  Area,Ready To Move,Chikka Tirupathi,3 BHK,Mainpro,1440,5.0,2.0,326.17218444457,1440.0,3,22650.846141984028
Plot  Area,18-Apr,Chikka Tirupathi,4 Bedroom,,1206,3.0,1.0,84.73657037253844,1206.0,4,7026.249616296719
Built-up  Area,18-Apr,Lingadheeranahalli,6 Bedroom,SollyCl,2700,5.0,2.0,199.9542119991228,2700.0,6,7405.711555523067
Carpet  Area,18-Dec,Electronic City Phase II,6 Bedroom,Prrscly,1100 - 1500,4.0,1.0,147.33622879784912,1300.0,6,11333.556061373009
Built-up  Area,18-Apr,Old Airport Road,6 Bedroom,SollyCl,1521,4.0,0.0,243.44227308150175,1521.0,6,16005.409144082956
Plot  Area,19-May,Uttarahalli,4 BHK,SollyCl,1440,2.0,0.0,357.61837997989073,1440.0,4,24834.609720825745
Super built-up  Area,Ready To Move,Kothanur,1 BHK,,1100 - 1500,4.0,2.0,199.044347237861,1300.0,1,15311.103633681616
Super built-up  Area,19-May,Kothanur,3 Bedroom,,1056,4.0,2.0,94.60902768540588,1056.0,3,8959.188227784647
Built-up  Area,18-Apr,Electronic City Phase II,1 BHK,SollyCl,1521,5.0,3.0,40.941255495145406,1521.0,1,2691.7327741712957
Super built-up  Area,18-Dec,Chikka Tirupathi,4 BHK,Prrscly,1521,4.0,1.0,284.70965902204347,1521.0,4,18718.583762133036
Plot  Area,18-Apr,Lingadheeranahalli,6 Bedroom,Mainpro,1206,3.0,0.0,108.66402127032536,1206.0,6,9010.28368742333
Super built-up  Area,18-Apr,Old Airport Road,1 BHK,SollyCl,1310,3.0,2.0,226.0634268921501,1310.0,1,17256.750144438938
Carpet  Area,19-May,Electronic City Phase II,4 BHK,,2600,1.0,1.0,234.91236733011743,2600.0,4,9035.091051158364
Plot  Area,18-Dec,Chikka Tirupathi,6 Bedroom,Theanmp,2600,3.0,2.0,79.58346577995435,2600.0,6,3060.9025299982445
Carpet  Area,19-May,Electronic City Phase II,3 BHK,Prrscly,1100 - 1500,2.0,1.0,128.93010229800137,1300.0,3,9917.700176769336
Super built-up  Area,19-May,Rajaji Nagar,6 Bedroom,SollyCl,1440,3.0,3.0,393.4945433194581,1440.0,6,27326.009952740143
Carpet  Area,19-May,Uttarahalli,2 BHK,Theanmp,1100 - 1500,3.0,2.0,343.4843015586263,1300.0,2,26421.86935066356
Plot  Area,Ready To Move,Lingadheeranahalli,4 BHK,Coomege ,2600,1.0,1.0,163.33843314849898,2600.0,4,6282.247428788422
Super built-up  Area,18-Apr,Whitefield,4 BHK,Theanmp,1100 - 1500,5.0,2.0,253.74045014261773,1300.0,4,19518.49616481675
Super built-up  Area,19-May,Whitefield,4 Bedroom,Theanmp,2600,4.0,1.0,94.07177216513536,2600.0,4,3618.1450832744367
Built-up  Area,Ready To Move,Old Airport Road,6 Bedroom,SollyCl,2600,2.0,0.0,283.74878505140305,2600.0,6,10913.414809669348
Plot  Area,18-Dec,Whitefield,2 BHK,,1100 - 1500,3.0,0.0,196.75768635360225,1300.0,2,15135.20664258479
Carpet  Area,18-Apr,Old Airport Road,1 BHK,,2600,2.0,2.0,339.5204243680711,2600.0,1,13058.477860310428
Super built-up  Area,18-Dec,Kothanur,6 Bedroom,Coomege ,1056,5.0,2.0,59.609244449702096,1056.0,6,5644.814815312699
Plot  Area,18-Apr,Rajaji Nagar,6 Bedroom,Coomege ,1440,3.0,2.0,276.1211341479226,1440.0,6,19175.0787602724
Carpet  Area,Ready To Move,Kothanur,2 BHK,,1056,2.0,3.0,327.4648444257978,1056.0,2,31009.928449412673
Carpet  Area,19-May,Lingadheeranahalli,4 Bedroom,Theanmp,1310,1.0,3.0,236.59275177061343,1310.0,4,18060.515402336903
Carpet  Area,18-Apr,Chikka Tirupathi,4 BHK,SollyCl,1100 - 1500,1.0,1.0,331.1687883598013,1300.0,4,25474.522181523174
Super built-up  Area,18-Apr,Rajaji Nagar,1 BHK,Coomege ,1310,5.0,0.0,202.17457664036996,1310.0,1,15433.17378934122
Super built-up  Area,18-Dec,Chikka Tirupathi,6 Bedroom,Mainpro,1056,1.0,3.0,339.48862152050776,1056.0,6,32148.54370459354
Plot  Area,18-Apr,Chikka Tirupathi,4 BHK,,1100 - 1500,2.0,1.0,279.61445834202215,1300.0,4,21508.804487847858
Plot  Area,19-May,Chikka Tirupathi,1 BHK,Prrscly,1310,5.0,0.0,294.0261665231743,1310.0,1,22444.745536120176
Plot  Area,18-Apr,Electronic City Phase II,6 Bedroom,Mainpro,1056,3.0,0.0,195.06546750650912,1056.0,6,18472.10866538912
Plot  Area,18-Apr,Electronic City Phase II,4 Bedroom,Prrscly,1056,4.0,3.0,34.40466236006769,1056.0,4,3258.017268945804
Built-up  Area,19-May,Electronic City Phase II,4 Bedroom,,2700,5.0,1.0,60.79320671467375,2700.0,4,2251.6002486916204
Super built-up  Area,18-Dec,Electronic City Phase II,3 BHK,SollyCl,1206,1.0,0.0,323.69389420043404,1206.0,3,26840.289734696024
Plot  Area,18-Dec,Lingadheeranahalli,4 BHK,Mainpro,1206,2.0,1.0,302.4594190560799,1206.0,4,25079.5538189121
Super built-up  Area,Ready To Move,Old Airport Road,3 BHK,Prrscly,2700,1.0,2.0,231.75222642718427,2700.0,3,8583.415793599417
Carpet  Area,18-Apr,Kothanur,6 Bedroom,,1310,1.0,1.0,107.85884589756556,1310.0,6,8233.499686837065
Built-up  Area,19-May,Electronic City Phase II,3 Bedroom,Prrscly,1206,2.0,3.0,202.27963779053653,1206.0,3,16772.77261944747
Plot  Area,18-Apr,Lingadheeranahalli,1 BHK,Coomege ,2700,4.0,1.0,305.4568948174301,2700.0,1,11313.218326571487
Super built-up  Area,Ready To Move,Lingadheeranahalli,4 BHK,Coomege ,1440,4.0,0.0,346.9664353756024,1440.0,4,24094.891345527943
Plot  Area,19-May,Old Airport Road,3 BHK,Theanmp,1206,1.0,0.0,146.29123610453462,1206.0,3,12130.284917457266
Super built-up  Area,18-Apr,Electronic City Phase II,1 BHK,Coomege ,2700,1.0,1.0,86.4071644392281,2700.0,1,3200.2653496010407
Super built-up  Area,18-Dec,Electronic City Phase II,4 BHK,,1056,2.0,0.0,337.0583831255949,1056.0,4,31918.407492954066
Carpet  Area,19-May,Chikka Tirupathi,4 Bedroom,,2600,4.0,3.0,175.36686203652943,2600.0,4,6744.879309097287
Carpet  Area,19-May,Whitefield,4 Bedroom,SollyCl,2700,4.0,1.0,236.44865999453287,2700.0,4,8757.357777575291
Plot  Area,Ready To Move,Uttarahalli,2 BHK,Theanmp,1206,1.0,2.0,358.50524732790404,1206.0,2,29726.803261020235
Built-up  Area,18-Dec,Chikka Tirupathi,4 BHK,Mainpro,1521,2.0,3.0,331.3104716557723,1521.0,4,21782.41102273322
Super built-up  Area,Ready To Move,Uttarahalli,1 BHK,Coomege ,1310,2.0,3.0,215.24122561254515,1310.0,1,16430.627909354593
Carpet  Area,Ready To Move,Uttarahalli,4 BHK,Mainpro,1521,2.0,0.0,177.92360612524553,1521.0,4,11697.804478977354
Built-up  Area,Ready To Move,Lingadheeranahalli,1 BHK,Mainpro,2700,4.0,2.0,364.6643112414972,2700.0,1,13506.085601536935
Built-up  Area,19-May,Whitefield,1 BHK,Prrscly,2700,4.0,0.0,327.4666712067097,2700.0,1,12128.395229878137
Plot  Area,19-May,Kothanur,3 Bedroom,Prrscly,1521,3.0,3.0,396.7947302927583,1521.0,3,26087.75347092428
Built-up  Area,18-Apr,Old Airport Road,2 BHK,,1100 - 1500,2.0,2.0,106.4058853427276,1300.0,2,8185.068103286739
Super built-up  Area,Ready To Move,Old Airport Road,3 BHK,Coomege ,1100 - 1500,5.0,2.0,45.917762782640885,1300.0,3,3532.1355986646836
Carpet  Area,Ready To Move,Chikka Tirupathi,3 Bedroom,Coomege ,1206,1.0,1.0,322.51580608422586,1206.0,3,26742.60415292088
Super built-up  Area,18-Apr,Kothanur,4 BHK,Coomege ,2700,1.0,2.0,372.4073612686218,2700.0,4,13792.86523217118
Carpet  Area,19-May,Electronic City Phase II,4 BHK,SollyCl,1440,5.0,2.0,348.7812660257263,1440.0,4,24220.921251786553
Built-up  Area,Ready To Move,Kothanur,2 BHK,Coomege ,1521,5.0,1.0,151.49975514902872,1521.0,2,9960.53617021885
Built-up  Area,Ready To Move,Kothanur,3 Bedroom,Theanmp,1310,4.0,0.0,273.24059758659166,1310.0,3,20858.060884472645
Plot  Area,19-May,Kothanur,4 BHK,Prrscly,2600,2.0,1.0,185.85074303288263,2600.0,4,7148.105501264717
Carpet  Area,19-May,Whitefield,1 BHK,Coomege ,1440,4.0,1.0,334.8925674919694,1440.0,1,23256.42829805343
Super built-up  Area,Ready To Move,Old Airport Road,1 BHK,Prrscly,1521,4.0,2.0,372.573103934898,1521.0,1,24495.27310551598
Built-up  Area,18-Apr,Rajaji Nagar,1 BHK,Coomege ,1521,3.0,3.0,88.91078220904791,1521.0,1,5845.547811245754
Plot  Area,18-Apr,Electronic City Phase II,3 BHK,,1440,1.0,1.0,95.04078225245364,1440.0,3,6600.054323087058
Carpet  Area,19-May,Kothanur,3 Bedroom,Prrscly,2600,4.0,3.0,210.9217949531348,2600.0,3,8112.376728966723
Plot  Area,19-May,Lingadheeranahalli,3 Bedroom,Prrscly,2700,5.0,2.0,164.47163517426495,2700.0,3,6091.542043491294
Plot  Area,19-May,Lingadheeranahalli,3 BHK,,1100 - 1500,3.0,1.0,381.1588870676684,1300.0,3,29319.914389820642
Carpet  Area,18-Apr,Lingadheeranahalli,3 BHK,Theanmp,1206,4.0,3.0,187.41439553332532,1206.0,3,15540.165467108236
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,SollyCl,1310,3.0,1.0,366.2840807939371,1310.0,3,27960.616854499014
Carpet  Area,18-Dec,Uttarahalli,3 Bedroom,Coomege ,1310,1.0,1.0,47.951903617187895,1310.0,3,3660.4506578006026
Built-up  Area,19-May,Old Airport Road,3 BHK,Prrscly,2600,5.0,3.0,90.49066406386032,2600.0,3,3480.41015630232
Carpet  Area,Ready To Move,Kothanur,3 Bedroom,Coomege ,1310,5.0,1.0,67.74331551804136,1310.0,3,5171.2454593924695
Super built-up  Area,19-May,Whitefield,3 BHK,SollyCl,2700,3.0,3.0,246.6610986398274,2700.0,3,9135.596245919534
Plot  Area,Ready To Move,Rajaji Nagar,4 Bedroom,,1056,4.0,1.0,100.64278172177713,1056.0,4,9530.566450925864
Carpet  Area,19-May,Electronic City Phase II,4 BHK,SollyCl,2600,4.0,3.0,119.93104812492471,2600.0,4,4612.732620189412
Plot  Area,19-May,Lingadheeranahalli,4 BHK,Theanmp,2700,3.0,3.0,225.85478477480936,2700.0,4,8364.992028696643
Carpet  Area,18-Apr,Electronic City Phase II,4 Bedroom,Mainpro,1310,3.0,0.0,145.700821092178,1310.0,4,11122.200083372365
Carpet  Area,19-May,Uttarahalli,2 BHK,Mainpro,1206,1.0,0.0,151.6754542646118,1206.0,2,12576.737501211592
Super built-up  Area,18-Apr,Kothanur,4 BHK,Prrscly,1440,5.0,1.0,108.06379840968329,1440.0,4,7504.4304451168955
Plot  Area,18-Dec,Electronic City Phase II,4 Bedroom,Coomege ,1310,2.0,0.0,45.41942503743471,1310.0,4,3467.131682246925
Built-up  Area,19-May,Chikka Tirupathi,3 BHK,Coomege ,1206,1.0,3.0,212.3767431820323,1206.0,3,17610.011872473657
Plot  Area,18-Dec,Chikka Tirupathi,6 Bedroom,SollyCl,1440,5.0,0.0,218.506121388774,1440.0,6,15174.036207553749
Built-up  Area,18-Dec,Lingadheeranahalli,1 BHK,Theanmp,2700,5.0,0.0,336.0740192465169,2700.0,1,12447.185898019145
Plot  Area,Ready To Move,Electronic City Phase II,4 Bedroom,SollyCl,1100 - 1500,3.0,1.0,101.3574175773427,1300.0,4,7796.7244290263625
Carpet  Area,18-Dec,Old Airport Road,4 Bedroom,Prrscly,1100 - 1500,4.0,0.0,345.1742421236785,1300.0,4,26551.864778744497
Carpet  Area,18-Apr,Chikka Tirupathi,1 BHK,Theanmp,2600,4.0,0.0,394.1980016283152,2600.0,1,15161.461601089044
Plot  Area,19-May,Uttarahalli,4 BHK,Theanmp,1056,2.0,3.0,76.90302020510293,1056.0,4,7282.482973968081
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,,1521,3.0,2.0,256.2181327772874,1521.0,3,16845.37362112343
Built-up  Area,18-Apr,Chikka Tirupathi,4 Bedroom,SollyCl,1521,5.0,0.0,36.26184925526528,1521.0,4,2384.0795039622144
Carpet  Area,18-Apr,Rajaji Nagar,1 BHK,Coomege ,2700,5.0,0.0,246.0190039490605,2700.0,1,9111.814961076316
Super built-up  Area,19-May,Whitefield,2 BHK,Coomege ,2600,2.0,1.0,197.22082986370927,2600.0,2,7585.416533219588
Super built-up  Area,18-Dec,Kothanur,3 BHK,Prrscly,1310,5.0,2.0,183.42866673048556,1310.0,3,14002.188300037065
Plot  Area,19-May,Kothanur,6 Bedroom,Prrscly,2600,5.0,3.0,138.90387794400004,2600.0,6,5342.456844000002
Built-up  Area,19-May,Lingadheeranahalli,6 Bedroom,,1440,3.0,3.0,33.77911933784535,1440.0,6,2345.7721762392607
Carpet  Area,Ready To Move,Whitefield,4 Bedroom,Prrscly,1206,1.0,3.0,68.30960831530373,1206.0,4,5664.146626476263
Carpet  Area,18-Apr,Kothanur,3 Bedroom,Theanmp,1100 - 1500,4.0,2.0,71.9859199261943,1300.0,3,5537.3784558611
Plot  Area,Ready To Move,Whitefield,4 BHK,Theanmp,1056,3.0,2.0,218.45882657845172,1056.0,4,20687.388880535203
Carpet  Area,19-May,Lingadheeranahalli,2 BHK,,1100 - 1500,1.0,3.0,347.1202030834189,1300.0,2,26701.554083339917
Super built-up  Area,18-Dec,Rajaji Nagar,3 Bedroom,,1521,2.0,3.0,32.99313195858526,1521.0,3,2169.1736987893005
Super built-up  Area,18-Apr,Lingadheeranahalli,1 BHK,,1440,4.0,3.0,281.11762540711965,1440.0,1,19522.057319938864
Carpet  Area,Ready To Move,Whitefield,6 Bedroom,Prrscly,1440,3.0,2.0,50.80496801387346,1440.0,6,3528.1227787412126
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Theanmp,1056,3.0,1.0,113.44910447283593,1056.0,3,10743.286408412492
Plot  Area,18-Apr,Lingadheeranahalli,4 BHK,Mainpro,1206,5.0,0.0,173.38722209101388,1206.0,4,14377.049924628016
Built-up  Area,Ready To Move,Chikka Tirupathi,3 BHK,Coomege ,1100 - 1500,4.0,3.0,138.86969189379403,1300.0,3,10682.28399183031
Built-up  Area,18-Dec,Chikka Tirupathi,6 Bedroom,Coomege ,1310,4.0,1.0,34.36176845474303,1310.0,6,2623.035759904048
Built-up  Area,Ready To Move,Lingadheeranahalli,3 Bedroom,Mainpro,2600,4.0,2.0,59.38230912818666,2600.0,3,2283.934966468718
Super built-up  Area,18-Dec,Whitefield,6 Bedroom,SollyCl,1100 - 1500,3.0,1.0,148.9547021725924,1300.0,6,11458.054013276338
Plot  Area,Ready To Move,Old Airport Road,4 Bedroom,SollyCl,2700,4.0,3.0,354.9768197900481,2700.0,4,13147.289621853635
Plot  Area,18-Apr,Rajaji Nagar,3 BHK,,1206,4.0,3.0,232.3857083357729,1206.0,3,19269.130044425612
Carpet  Area,18-Apr,Electronic City Phase II,3 Bedroom,Coomege ,1056,4.0,3.0,218.90874650422572,1056.0,3,20729.994934112285
Plot  Area,18-Apr,Lingadheeranahalli,4 Bedroom,,2600,3.0,0.0,208.4515445055481,2600.0,4,8017.367096367235
Carpet  Area,18-Dec,Chikka Tirupathi,6 Bedroom,Prrscly,1100 - 1500,4.0,0.0,148.98279012559402,1300.0,6,11460.214625045694
Super built-up  Area,18-Dec,Uttarahalli,1 BHK,Prrscly,2700,1.0,3.0,311.35043328626955,2700.0,1,11531.497529121094
Plot  Area,18-Dec,Chikka Tirupathi,6 Bedroom,Coomege ,1206,2.0,0.0,95.02702161756152,1206.0,6,7879.520863811072
Carpet  Area,Ready To Move,Rajaji Nagar,3 BHK,,1206,1.0,1.0,37.29227908655537,1206.0,3,3092.2287799797155
Plot  Area,18-Apr,Lingadheeranahalli,3 Bedroom,,1310,4.0,0.0,142.6822212287155,1310.0,3,10891.772612879045
Carpet  Area,19-May,Uttarahalli,4 Bedroom,Coomege ,1206,1.0,3.0,130.8274754286643,1206.0,4,10848.049372194386
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Theanmp,1056,3.0,2.0,85.58555130595742,1056.0,3,8104.692358518695
Carpet  Area,18-Apr,Kothanur,4 BHK,Mainpro,1206,4.0,0.0,333.114741220101,1206.0,4,27621.45449586244
Plot  Area,Ready To Move,Lingadheeranahalli,4 Bedroom,SollyCl,1100 - 1500,2.0,0.0,305.8723591184926,1300.0,4,23528.643009114818
Carpet  Area,18-Dec,Electronic City Phase II,3 Bedroom,Theanmp,2600,2.0,1.0,356.4859452003499,2600.0,3,13710.997892321147
Carpet  Area,18-Apr,Electronic City Phase II,4 Bedroom,Coomege ,1440,1.0,0.0,293.3530823396676,1440.0,4,20371.741829143582
Carpet  Area,18-Dec,Old Airport Road,6 Bedroom,Coomege ,2600,4.0,0.0,32.142069782442455,2600.0,6,1236.2334531708636
Built-up  Area,Ready To Move,Uttarahalli,4 Bedroom,Prrscly,1206,1.0,3.0,350.85736168086305,1206.0,4,29092.650222293785
Super built-up  Area,Ready To Move,Chikka Tirupathi,3 Bedroom,Prrscly,1440,3.0,2.0,382.5073356989423,1440.0,3,26563.00942353766
Super built-up  Area,19-May,Lingadheeranahalli,3 BHK,Mainpro,1206,3.0,2.0,105.5236231604007,1206.0,3,8749.885834195748
Plot  Area,18-Dec,Uttarahalli,6 Bedroom,Prrscly,1206,1.0,2.0,350.6693489507945,1206.0,6,29077.060443681134
Carpet  Area,Ready To Move,Whitefield,1 BHK,,1521,5.0,3.0,153.36449080443305,1521.0,1,10083.13549010079
Built-up  Area,Ready To Move,Lingadheeranahalli,3 Bedroom,,1310,4.0,1.0,92.7735845952561,1310.0,3,7081.953022538633
Carpet  Area,18-Dec,Rajaji Nagar,3 Bedroom,Theanmp,1206,3.0,0.0,250.36481403167787,1206.0,3,20759.934828497335
Carpet  Area,Ready To Move,Uttarahalli,1 BHK,Theanmp,1521,4.0,0.0,208.7638598609695,1521.0,1,13725.434573370774
Carpet  Area,18-Dec,Chikka Tirupathi,2 BHK,SollyCl,1206,2.0,2.0,228.2612082789512,1206.0,2,18927.131698088822
Super built-up  Area,19-May,Lingadheeranahalli,1 BHK,Theanmp,2600,5.0,2.0,393.0743262772902,2600.0,1,15118.243318357316
Super built-up  Area,18-Dec,Chikka Tirupathi,1 BHK,Theanmp,2600,1.0,0.0,83.1133448882459,2600.0,1,3196.667111086381
Super built-up  Area,18-Dec,Lingadheeranahalli,3 BHK,SollyCl,2700,5.0,3.0,240.33591198132936,2700.0,3,8901.330073382569
Plot  Area,Ready To Move,Kothanur,2 BHK,Mainpro,1521,3.0,1.0,85.62887379783562,1521.0,2,5629.774740160133
Carpet  Area,18-Apr,Rajaji Nagar,1 BHK,Mainpro,1440,5.0,3.0,295.3778101569892,1440.0,1,20512.347927568695
Plot  Area,Ready To Move,Lingadheeranahalli,3 BHK,Mainpro,1206,4.0,2.0,367.6860301145654,1206.0,3,30488.062198554348
Super built-up  Area,Ready To Move,Whitefield,4 Bedroom,,1100 - 1500,1.0,2.0,62.89852603231688,1300.0,4,4838.348156332067
Built-up  Area,18-Apr,Lingadheeranahalli,4 Bedroom,SollyCl,1521,2.0,1.0,34.979177331367886,1521.0,4,2299.748673988684
Carpet  Area,19-May,Electronic City Phase II,6 Bedroom,Theanmp,2600,4.0,3.0,334.42581903824555,2600.0,6,12862.531501470983
Plot  Area,19-May,Kothanur,6 Bedroom,,1206,1.0,2.0,39.80582806905248,1206.0,6,3300.6490936196087
Built-up  Area,18-Dec,Kothanur,3 BHK,Theanmp,1100 - 1500,4.0,3.0,262.8326165444768,1300.0,3,20217.89358034437
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Mainpro,1100 - 1500,4.0,2.0,256.917207316286,1300.0,3,19762.86210125277
Plot  Area,Ready To Move,Electronic City Phase II,3 BHK,Theanmp,1440,4.0,2.0,308.3558983818375,1440.0,3,21413.604054294272
Built-up  Area,18-Apr,Chikka Tirupathi,3 Bedroom,Theanmp,1310,5.0,3.0,144.2330111178236,1310.0,3,11010.153520444548
Built-up  Area,19-May,Kothanur,3 BHK,SollyCl,1310,3.0,1.0,195.53588250373917,1310.0,3,14926.403244560242
Carpet  Area,18-Apr,Kothanur,2 BHK,Prrscly,1206,3.0,2.0,258.74628499846017,1206.0,2,21454.91583735159
Carpet  Area,18-Dec,Whitefield,6 Bedroom,,1056,4.0,1.0,185.40019720852248,1056.0,6,17556.83685686766
Built-up  Area,18-Dec,Kothanur,3 BHK,Coomege ,1521,5.0,1.0,182.66600952694037,1521.0,3,12009.5995744208
Super built-up  Area,18-Dec,Uttarahalli,3 BHK,,1521,1.0,1.0,183.46416221752895,1521.0,3,12062.075096484481
Built-up  Area,18-Apr,Whitefield,2 BHK,Mainpro,1100 - 1500,2.0,3.0,245.34324957003963,1300.0,2,18872.55765923382
Super built-up  Area,18-Apr,Whitefield,3 Bedroom,SollyCl,2600,4.0,3.0,41.132741489833705,2600.0,3,1582.028518839758
Built-up  Area,19-May,Kothanur,6 Bedroom,Coomege ,2700,5.0,1.0,306.9756543202805,2700.0,6,11369.468678528909
Built-up  Area,19-May,Old Airport Road,1 BHK,Prrscly,1206,2.0,0.0,124.9668283861568,1206.0,1,10362.09190598315
Carpet  Area,Ready To Move,Whitefield,3 Bedroom,Prrscly,2600,4.0,1.0,348.693437798698,2600.0,3,13411.286069180693
Plot  Area,Ready To Move,Rajaji Nagar,4 BHK,SollyCl,1440,2.0,3.0,369.5081750061165,1440.0,4,25660.28993098031
Built-up  Area,19-May,Rajaji Nagar,3 BHK,Prrscly,1100 - 1500,1.0,2.0,310.7493386529141,1300.0,3,23903.795280993392
Carpet  Area,19-May,Chikka Tirupathi,3 BHK,SollyCl,2700,2.0,1.0,112.3832261529458,2700.0,3,4162.341709368363
Carpet  Area,18-Dec,Old Airport Road,4 BHK,Coomege ,1056,3.0,2.0,200.25389617665851,1056.0,4,18963.437137941146
Carpet  Area,19-May,Chikka Tirupathi,4 Bedroom,,1521,3.0,3.0,209.4306036587784,1521.0,4,13769.270457513374
Carpet  Area,18-Dec,Old Airport Road,1 BHK,Mainpro,1521,5.0,3.0,45.819919458787055,1521.0,1,3012.486486442279
Plot  Area,18-Dec,Uttarahalli,1 BHK,Mainpro,1310,3.0,2.0,265.9790631245804,1310.0,1,20303.745276685528
Plot  Area,18-Dec,Whitefield,3 Bedroom,Coomege ,1100 - 1500,3.0,0.0,206.10628747413585,1300.0,3,15854.329805702759
Carpet  Area,Ready To Move,Chikka Tirupathi,4 BHK,Coomege ,1056,2.0,0.0,393.1704756598898,1056.0,4,37232.052619307746
Carpet  Area,19-May,Chikka Tirupathi,2 BHK,,1440,1.0,2.0,386.46147926888966,1440.0,2,26837.602727006226
Plot  Area,Ready To Move,Chikka Tirupathi,3 Bedroom,Prrscly,1521,1.0,0.0,337.6229250516729,1521.0,3,22197.430969866728
Plot  Area,18-Apr,Electronic City Phase II,3 Bedroom,,1206,1.0,2.0,256.6567777797179,1206.0,3,21281.65653231492
Built-up  Area,19-May,Uttarahalli,4 Bedroom,SollyCl,1100 - 1500,4.0,0.0,243.4142664780169,1300.0,4,18724.174344462837
Carpet  Area,18-Apr,Chikka Tirupathi,3 Bedroom,Coomege ,1521,1.0,1.0,262.9875906144921,1521.0,3,17290.439882609604
