Suburb,Address,Rooms,Type,SalePrice,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,HouseAge,Price_per_SqM,TotalRooms
Ashburton,Address 215,4.0,t,1898410.0,S,Jellis,1/01/2016,10.94287313711886,3036.0,4.0,2.0,3.0,289.4002041259016,342.9532239471948,1952.0,Yarra City Council,-37.82344042522692,145.46422564751944,Southern Metropolitan,4445.0,74.0,5535.477923637488,6.0
Airport West,Address 216,2.0,h,1310483.0,SA,Biggin,1/01/2016,13.76066026993855,3155.0,3.0,3.0,3.0,834.4643530621025,63.15375315558126,1933.0,Moonee Valley City Council,-37.741540887230606,145.24573732192576,Southern Metropolitan,2701.0,93.0,20750.674892932868,5.0
Armadale,Address 217,1.0,u,935635.0,PI,Nelson,1/01/2016,17.778355338739157,3015.0,5.0,1.0,0.0,251.23770773569203,325.914662449276,1981.0,Port Phillip City Council,-37.60038767946296,145.3878212161665,Western Metropolitan,1650.0,45.0,2870.7975056066043,2.0
Alphington,Address 218,5.0,u,1130731.0,SA,Jellis,1/01/2016,7.953642774779783,3158.0,1.0,3.0,2.0,949.2021662336588,127.63030307728984,2001.0,Port Phillip City Council,-37.77579280456829,145.16650620459748,Southern Metropolitan,4218.0,25.0,8859.424233406831,8.0
Abbotsford,Address 219,2.0,h,2396053.0,S,Biggin,1/01/2016,15.438241315313284,3185.0,4.0,3.0,3.0,935.366363882715,267.0974167797769,1906.0,Moonee Valley City Council,-37.75475513900967,145.31618520171895,Southern Metropolitan,1064.0,120.0,8970.70824902645,5.0
Altona,Address 220,1.0,t,698548.0,VB,Ray,1/01/2016,19.81984118575549,3006.0,5.0,3.0,3.0,191.2360310354816,334.7550157776504,1999.0,Port Phillip City Council,-37.66788358049228,144.8660351439768,Northern Metropolitan,5153.0,27.0,2086.743938331268,4.0
Albert Park,Address 221,2.0,h,753545.0,S,Biggin,1/01/2016,10.389882916969816,3185.0,5.0,1.0,1.0,991.2691683492342,276.9450557935194,1973.0,Port Phillip City Council,-37.93982489723371,145.24173292632642,Western Metropolitan,7011.0,53.0,2720.9187679516367,3.0
Armadale,Address 222,2.0,h,1794093.0,SP,Nelson,1/01/2016,16.00019529202426,3169.0,4.0,2.0,3.0,655.0793472366083,126.00283957990798,1984.0,Yarra City Council,-37.508191171150905,145.11176786991257,Western Metropolitan,8321.0,42.0,14238.512449254997,4.0
Altona,Address 223,4.0,u,1780577.0,S,Biggin,1/01/2016,9.453936170023102,3060.0,2.0,1.0,2.0,655.3301446735896,372.3066311116392,2002.0,Yarra City Council,-37.55749425725652,145.23115325831145,Western Metropolitan,2492.0,24.0,4782.555160738138,5.0
Albert Park,Address 224,4.0,h,2790494.0,VB,Jellis,1/01/2016,2.6616097810855712,3102.0,1.0,3.0,2.0,836.4387764840656,266.6197627827996,1940.0,Moonee Valley City Council,-37.55363367726826,144.5773395893414,Southern Metropolitan,4720.0,86.0,10466.193394198093,7.0
Altona,Address 225,1.0,h,2886233.0,SA,Jellis,1/01/2016,11.451283049196068,3053.0,1.0,3.0,2.0,603.559628525119,246.98099983751823,1986.0,Moonee Valley City Council,-37.58056639896192,144.7357360785101,Northern Metropolitan,2699.0,40.0,11686.052780978174,4.0
Ashwood,Address 226,5.0,u,1138908.0,S,Marshall,1/01/2016,8.337581425985906,3011.0,5.0,1.0,1.0,229.08524668402117,101.4783009510428,1945.0,Yarra City Council,-37.929851504859606,145.2515943414033,Northern Metropolitan,2463.0,81.0,11223.167803621927,6.0
Abbotsford,Address 227,3.0,t,1596440.0,VB,Marshall,1/01/2016,10.371629658313797,3141.0,3.0,2.0,0.0,813.1574324769406,294.9814989310321,2000.0,Port Phillip City Council,-37.99803955170446,145.20564253230583,Northern Metropolitan,8607.0,26.0,5412.0004331975215,5.0
Abbotsford,Address 228,5.0,h,2287144.0,S,Marshall,1/01/2016,7.459469695603659,3062.0,4.0,2.0,3.0,609.2934659448019,123.64533839682956,1905.0,Port Phillip City Council,-37.90525816592591,144.9945432986938,Western Metropolitan,4627.0,121.0,18497.616082052355,7.0
Abbotsford,Address 229,5.0,t,2562947.0,SA,Ray,1/01/2016,19.76280797783912,3175.0,5.0,2.0,2.0,663.6485510084823,243.2351692641129,1925.0,Yarra City Council,-37.90323664322261,145.06552062029297,Southern Metropolitan,9930.0,101.0,10536.909640797323,7.0
Ashburton,Address 230,2.0,u,1343789.0,S,Nelson,1/01/2016,16.682774002511792,3026.0,3.0,1.0,2.0,320.7150725691658,309.4126177817624,1999.0,Port Phillip City Council,-37.9854274276807,144.62971689035922,Northern Metropolitan,3399.0,27.0,4343.032322449801,3.0
Altona North,Address 231,1.0,u,2916757.0,SP,Marshall,1/01/2016,13.070333350921212,3084.0,1.0,3.0,3.0,287.2956593599606,193.2845623961825,1964.0,Yarra City Council,-37.58886620108682,145.11553253347282,Southern Metropolitan,3343.0,62.0,15090.48091498076,4.0
Alphington,Address 232,4.0,h,2809071.0,VB,Nelson,1/01/2016,5.854396512355642,3150.0,5.0,2.0,0.0,978.6764560617444,270.71781245745694,1985.0,Port Phillip City Council,-37.91506981257801,144.63714875561868,Western Metropolitan,9967.0,41.0,10376.380388495652,6.0
Alphington,Address 233,5.0,u,572641.0,VB,Biggin,1/01/2016,7.156771004689824,3121.0,2.0,1.0,0.0,490.2143272724012,110.1647616735162,1934.0,Port Phillip City Council,-37.54765574037937,144.97298024477772,Southern Metropolitan,4314.0,92.0,5198.041472617862,6.0
Altona,Address 234,5.0,h,796127.0,PI,Biggin,1/01/2016,11.033812849387374,3185.0,5.0,2.0,3.0,880.5039569064932,101.88561778241191,2009.0,Yarra City Council,-37.96910426238392,145.11658985271202,Northern Metropolitan,2966.0,17.0,7813.9291622122555,7.0
Ashburton,Address 235,5.0,h,1069199.0,SP,Nelson,1/01/2016,8.646256048713866,3050.0,3.0,3.0,1.0,551.9670164474871,373.1979993050738,1906.0,Port Phillip City Council,-37.62897287173479,145.34825780744828,Southern Metropolitan,9710.0,120.0,2864.9644478023433,8.0
Abbotsford,Address 236,1.0,u,1618142.0,SA,Nelson,1/01/2016,3.004401034401789,3040.0,4.0,1.0,3.0,848.5398576211669,386.9648968698155,1924.0,Yarra City Council,-37.827051262984654,144.6078748202157,Western Metropolitan,3355.0,102.0,4181.6247755009745,2.0
Albert Park,Address 237,4.0,t,1471074.0,SP,Biggin,1/01/2016,2.9000362554608063,3138.0,3.0,2.0,3.0,811.8462707185519,229.02233899891104,1952.0,Moonee Valley City Council,-37.87922201179676,144.76168040482096,Northern Metropolitan,6064.0,74.0,6423.27733805476,6.0
Abbotsford,Address 238,1.0,h,1357630.0,VB,Marshall,1/01/2016,19.52197023861713,3093.0,4.0,2.0,1.0,607.0983685202496,147.19461660698602,1998.0,Moonee Valley City Council,-37.7424879540117,144.83914539721275,Southern Metropolitan,4483.0,28.0,9223.367207952397,3.0
Ashburton,Address 239,5.0,u,2820085.0,SP,Jellis,1/01/2016,8.79465909215886,3036.0,5.0,1.0,2.0,420.4654554817818,112.91902624471513,1915.0,Yarra City Council,-37.84061943452042,144.83198038021823,Northern Metropolitan,1650.0,111.0,24974.400628361658,6.0
Ashwood,Address 240,4.0,h,1231457.0,SP,Nelson,1/01/2016,10.369870946789426,3058.0,5.0,3.0,3.0,965.2948991528727,360.99620110524734,2012.0,Yarra City Council,-37.62803186916092,144.79819654423846,Northern Metropolitan,1000.0,14.0,3411.274124851448,7.0
Altona,Address 241,2.0,u,736247.0,S,Marshall,1/01/2016,19.016528710652224,3034.0,2.0,2.0,2.0,392.0839384421931,193.3911731512054,2017.0,Yarra City Council,-37.74865318804999,144.86948293586653,Southern Metropolitan,8358.0,9.0,3807.0351816127395,4.0
Ashburton,Address 242,1.0,h,2023400.0,PI,Jellis,1/01/2016,18.14226614467537,3181.0,1.0,1.0,0.0,868.9973356354615,62.77688315134246,1964.0,Yarra City Council,-37.908263890887824,144.59796850137616,Southern Metropolitan,6639.0,62.0,32231.609765046614,2.0
Albert Park,Address 243,3.0,t,1526048.0,SP,Biggin,1/01/2016,14.05971616311843,3115.0,4.0,3.0,0.0,512.0537736699257,356.3222979341002,1940.0,Moonee Valley City Council,-37.87021048065658,145.00053781281235,Northern Metropolitan,3832.0,86.0,4282.774355822756,6.0
Altona North,Address 244,5.0,h,1718963.0,SA,Nelson,1/01/2016,13.828930837006084,3131.0,2.0,2.0,3.0,155.4572492481924,229.22586527609283,1976.0,Moonee Valley City Council,-37.53499247548244,145.2755719154363,Southern Metropolitan,1971.0,50.0,7498.992305818464,7.0
Albert Park,Address 245,5.0,t,1674308.0,SA,Ray,1/01/2016,15.938918888353983,3163.0,2.0,3.0,1.0,795.1661029300263,53.260487938519816,1958.0,Yarra City Council,-37.82072627193409,145.25461249162657,Northern Metropolitan,3083.0,68.0,31436.21218665334,8.0
Altona,Address 246,5.0,u,2778974.0,SA,Nelson,1/01/2016,2.067129066310856,3003.0,4.0,3.0,0.0,343.18273081280336,131.44361413469466,1936.0,Moonee Valley City Council,-37.891957908045306,144.75002350285817,Northern Metropolitan,8221.0,90.0,21141.94758181476,8.0
Altona,Address 247,1.0,t,1274789.0,SA,Ray,1/01/2016,19.705326668426743,3166.0,4.0,3.0,3.0,868.2887482613576,200.6103645344295,1966.0,Yarra City Council,-37.64425151404608,144.99920171921198,Southern Metropolitan,4836.0,60.0,6354.552034031203,4.0
Altona,Address 248,5.0,u,804938.0,S,Nelson,1/01/2016,2.441831432972485,3198.0,4.0,1.0,0.0,479.0504123172388,182.84098845536855,1922.0,Yarra City Council,-37.60699916487161,145.49463549028036,Southern Metropolitan,4603.0,104.0,4402.393614255073,6.0
Altona,Address 249,2.0,t,767100.0,SA,Biggin,1/01/2016,6.542824360027789,3195.0,5.0,1.0,3.0,397.24551352408514,104.58296922435711,1926.0,Moonee Valley City Council,-37.50815860496934,145.12615043457697,Western Metropolitan,7809.0,100.0,7334.846253546073,3.0
Albert Park,Address 250,2.0,u,2156105.0,SA,Jellis,1/01/2016,15.435010576896646,3071.0,5.0,1.0,1.0,246.99110154667704,302.09850235998067,1975.0,Port Phillip City Council,-37.63029456646208,145.39051423772932,Northern Metropolitan,5227.0,51.0,7137.092647453063,3.0
Alphington,Address 251,3.0,h,2242839.0,S,Marshall,1/01/2016,12.421556447531309,3183.0,1.0,2.0,3.0,548.9450813419679,175.04716052251234,1909.0,Yarra City Council,-37.949504939417146,145.11959073899453,Northern Metropolitan,2462.0,117.0,12812.76996042192,5.0
Abbotsford,Address 252,3.0,t,705039.0,S,Jellis,1/01/2016,11.03885428966828,3001.0,2.0,3.0,1.0,125.72636659410894,183.45699921539935,1986.0,Yarra City Council,-37.61029854181622,144.8606898029163,Northern Metropolitan,9542.0,40.0,3843.0749604282155,6.0
Alphington,Address 253,2.0,h,1850292.0,VB,Marshall,1/01/2016,17.472585803906473,3100.0,5.0,2.0,1.0,696.567148761159,286.31630016414294,1945.0,Yarra City Council,-37.89454308214595,144.50571552547572,Western Metropolitan,4799.0,81.0,6462.405385020838,4.0
Airport West,Address 254,4.0,t,2471869.0,S,Jellis,1/01/2016,9.313058009200253,3095.0,3.0,3.0,2.0,694.0677375349603,170.4237545307294,1927.0,Port Phillip City Council,-37.64902103475853,145.45765276602535,Northern Metropolitan,2614.0,99.0,14504.251515913487,7.0
Ascot Vale,Address 255,1.0,t,2046739.0,SP,Ray,1/01/2016,11.325324134950948,3065.0,4.0,1.0,0.0,547.1764916241132,393.7243497139333,2017.0,Moonee Valley City Council,-37.876967441848834,145.45905149054423,Southern Metropolitan,4819.0,9.0,5198.405944379846,2.0
Albert Park,Address 256,2.0,t,2179533.0,VB,Nelson,1/01/2016,19.493929766564406,3065.0,2.0,1.0,2.0,951.9921964748006,229.6367103772856,2007.0,Yarra City Council,-37.9741447621996,145.02741817222162,Western Metropolitan,7747.0,19.0,9491.222010710302,3.0
Altona,Address 257,3.0,u,1363937.0,SA,Marshall,1/01/2016,8.208024966884562,3030.0,3.0,3.0,1.0,869.2045555097674,195.83786118442848,1908.0,Port Phillip City Council,-37.74896794904116,145.21879361545626,Northern Metropolitan,1746.0,118.0,6964.623652193204,6.0
Albert Park,Address 258,1.0,h,2248678.0,PI,Nelson,1/01/2016,5.846498831886873,3068.0,3.0,2.0,2.0,393.4120376360711,318.17813581543527,1968.0,Yarra City Council,-37.89704811147901,144.72270507127206,Western Metropolitan,8843.0,58.0,7067.355505861611,3.0
Armadale,Address 259,2.0,h,1563557.0,PI,Jellis,1/01/2016,18.788748513605096,3136.0,5.0,1.0,2.0,692.4708524871278,325.98000754770715,1997.0,Moonee Valley City Council,-37.83010603247904,145.06292842576275,Northern Metropolitan,9527.0,29.0,4796.481268168489,3.0
Altona,Address 260,5.0,u,1219335.0,S,Ray,1/01/2016,7.154667784528338,3122.0,3.0,1.0,2.0,340.4595844172185,200.2357402491712,1945.0,Yarra City Council,-37.64201313767148,145.41222380285666,Western Metropolitan,1406.0,81.0,6089.497301943563,6.0
Altona North,Address 261,3.0,h,1437653.0,S,Marshall,1/01/2016,8.935903682329334,3095.0,4.0,3.0,0.0,277.79492612877834,115.87221401465344,1917.0,Port Phillip City Council,-37.98938926062556,145.29390284448544,Southern Metropolitan,6390.0,109.0,12407.228188616396,6.0
Altona,Address 262,1.0,h,1819208.0,SA,Nelson,1/01/2016,16.40797134177287,3009.0,3.0,1.0,2.0,276.7233825065682,147.0871182757491,1911.0,Port Phillip City Council,-37.55057174458538,145.20085438029915,Southern Metropolitan,8508.0,115.0,12368.234698768592,2.0
Alphington,Address 263,2.0,u,2752576.0,SA,Jellis,1/01/2016,19.423778137219216,3031.0,4.0,2.0,1.0,937.3753498717664,158.85986239580157,1969.0,Port Phillip City Council,-37.96235787993626,144.57650752592946,Southern Metropolitan,7112.0,57.0,17327.070277462022,4.0
Abbotsford,Address 264,2.0,t,1417730.0,VB,Nelson,1/01/2016,2.4259697722396325,3053.0,2.0,1.0,0.0,704.1065377378225,113.3620028468763,1985.0,Moonee Valley City Council,-37.93534304781373,144.73132584778966,Southern Metropolitan,2708.0,41.0,12506.218701119797,3.0
Ashburton,Address 265,4.0,h,2620540.0,S,Jellis,1/01/2016,19.545511111451344,3147.0,5.0,3.0,3.0,202.10052865290535,378.0217331310897,1943.0,Yarra City Council,-37.93172195436834,145.17947934012275,Western Metropolitan,2808.0,83.0,6932.246932721336,7.0
Alphington,Address 266,5.0,h,2829344.0,SP,Marshall,1/01/2016,3.560737522842236,3145.0,5.0,1.0,3.0,777.2955851693498,277.617196493425,1977.0,Moonee Valley City Council,-37.89888394723652,145.09202058890324,Southern Metropolitan,3282.0,49.0,10191.53004834486,6.0
Ascot Vale,Address 267,3.0,t,1924324.0,SP,Nelson,1/01/2016,10.98236146666306,3135.0,4.0,1.0,2.0,467.9224342225268,53.66185743267901,1960.0,Yarra City Council,-37.65128958222681,145.49914399792485,Western Metropolitan,7149.0,66.0,35860.182484628735,4.0
Albert Park,Address 268,4.0,t,2649398.0,VB,Ray,1/01/2016,7.096822924013285,3085.0,1.0,3.0,2.0,582.7104362098432,134.5583398026401,1951.0,Moonee Valley City Council,-37.94333342976053,145.40241342717965,Western Metropolitan,4559.0,75.0,19689.585973533376,7.0
Armadale,Address 269,5.0,t,2188619.0,PI,Biggin,1/01/2016,15.66256376065672,3111.0,3.0,2.0,1.0,770.1145935049851,138.29049356524982,1940.0,Port Phillip City Council,-37.63960286061213,144.74304592422567,Western Metropolitan,8922.0,86.0,15826.243319952724,7.0
Ashburton,Address 270,2.0,h,2634638.0,SP,Nelson,1/01/2016,15.770818002126038,3092.0,4.0,2.0,0.0,545.3724490167691,294.90418569480505,2004.0,Port Phillip City Council,-37.857068235219664,145.0936042494608,Western Metropolitan,6223.0,22.0,8933.877943416424,4.0
Ascot Vale,Address 271,3.0,t,906126.0,S,Nelson,1/01/2016,9.765234883037628,3139.0,1.0,3.0,1.0,613.3458764324931,266.5783473602747,1923.0,Moonee Valley City Council,-37.55715340486669,145.15140015254616,Southern Metropolitan,7104.0,103.0,3399.0982725066974,6.0
Ashburton,Address 272,2.0,t,552311.0,S,Jellis,1/01/2016,11.047409267773377,3007.0,2.0,2.0,1.0,746.542743436089,394.35915452812856,1908.0,Yarra City Council,-37.74651085238724,144.98457432882455,Western Metropolitan,8298.0,118.0,1400.527903709676,4.0
Albert Park,Address 273,2.0,h,955006.0,SP,Nelson,1/01/2016,9.021520098894587,3149.0,1.0,3.0,1.0,650.0310940532455,266.2799785452636,2015.0,Yarra City Council,-37.594535808573085,144.72439281707707,Western Metropolitan,4274.0,11.0,3586.4731746538855,5.0
Armadale,Address 274,5.0,t,2136905.0,PI,Nelson,1/01/2016,18.520646893678148,3154.0,1.0,2.0,2.0,306.99561540272424,52.10854070312544,1913.0,Port Phillip City Council,-37.53119687102137,144.55815570104463,Western Metropolitan,8336.0,113.0,41008.72853405065,7.0
Ashburton,Address 275,3.0,u,1046718.0,SP,Nelson,1/01/2016,10.890291288251928,3199.0,4.0,1.0,0.0,710.8004083465496,104.6880795546994,1996.0,Port Phillip City Council,-37.565815148573,144.73711820697127,Southern Metropolitan,8199.0,30.0,9998.44494666741,4.0
Albert Park,Address 276,3.0,h,1523821.0,VB,Biggin,1/01/2016,14.056147559307586,3124.0,2.0,1.0,0.0,668.1180772200902,342.1698402987212,1985.0,Yarra City Council,-37.51275506589862,145.26646758682972,Western Metropolitan,3740.0,41.0,4453.405357613264,4.0
Ascot Vale,Address 277,1.0,u,561278.0,SP,Marshall,1/01/2016,3.1280104054683644,3186.0,1.0,2.0,2.0,133.4733045591089,379.14995807409946,2000.0,Yarra City Council,-37.908776537939815,145.08244486608467,Southern Metropolitan,6788.0,26.0,1480.3588607816916,3.0
Altona,Address 278,5.0,t,2217927.0,PI,Nelson,1/01/2016,12.428405212852136,3184.0,1.0,3.0,2.0,759.727745783815,305.1858064285682,2006.0,Yarra City Council,-37.55012174288471,144.93411444287162,Southern Metropolitan,9627.0,20.0,7267.4644537216645,8.0
Altona North,Address 279,1.0,t,2595045.0,S,Jellis,1/01/2016,8.175850242810732,3120.0,4.0,1.0,1.0,366.15867815984416,333.4686143278328,1912.0,Yarra City Council,-37.71557810003464,144.57783545191015,Northern Metropolitan,6993.0,114.0,7781.976739342589,2.0
Albert Park,Address 280,1.0,u,1213374.0,S,Marshall,1/01/2016,8.330729581567468,3083.0,5.0,1.0,3.0,223.8777216625605,58.42550785581619,1975.0,Port Phillip City Council,-37.93544037321747,145.02494469163358,Northern Metropolitan,4832.0,51.0,20767.881093894677,2.0
Airport West,Address 281,3.0,t,1403714.0,VB,Nelson,1/01/2016,8.276410949620622,3129.0,3.0,3.0,1.0,228.403528660098,335.6601010741616,2017.0,Yarra City Council,-37.65081165031488,144.5797257629824,Northern Metropolitan,8338.0,9.0,4181.950715941242,6.0
Abbotsford,Address 282,2.0,u,621065.0,VB,Ray,1/01/2016,14.574361431107546,3012.0,5.0,3.0,3.0,545.1682682509858,361.848452959684,1997.0,Yarra City Council,-37.84234581700228,144.96610756543666,Western Metropolitan,3931.0,29.0,1716.3677084152052,5.0
Albert Park,Address 283,3.0,u,776727.0,VB,Jellis,1/01/2016,16.110908064464684,3063.0,1.0,3.0,3.0,963.0655807043412,360.0702271793142,1940.0,Port Phillip City Council,-37.646328832054856,145.05400967698034,Northern Metropolitan,6227.0,86.0,2157.154192071514,6.0
Ascot Vale,Address 284,4.0,u,522625.0,S,Nelson,1/01/2016,11.813263010976328,3013.0,5.0,3.0,1.0,232.88765313637532,158.10823297857092,1956.0,Moonee Valley City Council,-37.85932186623864,144.90482967176726,Southern Metropolitan,5705.0,70.0,3305.488842385795,7.0
Ascot Vale,Address 285,1.0,h,2037984.0,PI,Ray,1/01/2016,4.090871004500925,3004.0,3.0,2.0,1.0,362.6577228032695,157.48553392215547,1925.0,Port Phillip City Council,-37.71087330856758,144.6835094526759,Western Metropolitan,7229.0,101.0,12940.769537647617,3.0
Alphington,Address 286,1.0,t,2220174.0,PI,Ray,1/01/2016,2.403019581157202,3098.0,3.0,2.0,3.0,118.74030616661592,367.0872348968421,1934.0,Moonee Valley City Council,-37.93508879338226,144.91531806154083,Western Metropolitan,1220.0,92.0,6048.082823212056,3.0
Armadale,Address 287,3.0,h,1367318.0,S,Ray,1/01/2016,10.55832876707155,3174.0,5.0,2.0,2.0,266.05754261624884,68.83949678107753,1992.0,Yarra City Council,-37.89303016613611,145.33849928229938,Southern Metropolitan,6576.0,34.0,19862.405507529013,5.0
Airport West,Address 288,3.0,h,743848.0,S,Jellis,1/01/2016,3.455356866354925,3077.0,4.0,3.0,0.0,373.6674220557389,165.03816961946512,2003.0,Moonee Valley City Council,-37.66105103264782,145.0151418758676,Western Metropolitan,7619.0,23.0,4507.127058638126,6.0
Ascot Vale,Address 289,5.0,h,2070554.0,PI,Biggin,1/01/2016,5.334238990241584,3072.0,4.0,3.0,0.0,928.5992310181622,322.50672412031304,1975.0,Moonee Valley City Council,-37.70973163876301,145.07993322502023,Western Metropolitan,8882.0,51.0,6420.188619780739,8.0
Ashburton,Address 290,4.0,t,2996022.0,SP,Nelson,1/01/2016,5.9098140882943015,3051.0,4.0,3.0,2.0,574.3966760650395,244.3721664703668,1939.0,Moonee Valley City Council,-37.738934784987656,144.64736506572788,Northern Metropolitan,8964.0,87.0,12260.078728578548,7.0
Ascot Vale,Address 291,3.0,u,1188667.0,SP,Jellis,1/01/2016,10.335460994255916,3092.0,2.0,3.0,3.0,319.715464110784,235.2017751755777,2007.0,Moonee Valley City Council,-37.77830798534701,144.57626242602797,Western Metropolitan,9805.0,19.0,5053.818148747654,6.0
Alphington,Address 292,5.0,h,1283233.0,SP,Biggin,1/01/2016,13.629555660166297,3160.0,5.0,3.0,0.0,242.91369276726783,285.0761092839929,2013.0,Moonee Valley City Council,-37.58924030919255,145.40526427456706,Southern Metropolitan,2161.0,13.0,4501.369838472305,8.0
Ascot Vale,Address 293,1.0,h,1769587.0,SA,Jellis,1/01/2016,2.8917571434187472,3140.0,5.0,3.0,0.0,138.32183349523137,303.56067353692765,2000.0,Moonee Valley City Council,-37.50193001384239,144.75886514847133,Northern Metropolitan,9126.0,26.0,5829.434291938124,4.0
Ashburton,Address 294,4.0,t,1779630.0,VB,Ray,1/01/2016,17.34555921064567,3091.0,3.0,3.0,1.0,493.8902518244779,53.26435581747358,1914.0,Yarra City Council,-37.75158684915069,145.18746064066423,Western Metropolitan,6173.0,112.0,33411.274250615934,7.0
Airport West,Address 295,4.0,h,1331923.0,SP,Ray,1/01/2016,2.1052199883109664,3146.0,1.0,2.0,0.0,388.12426452739936,119.77209013309478,1936.0,Yarra City Council,-37.60224639787779,144.76732125582677,Western Metropolitan,8970.0,90.0,11120.478890532197,6.0
Ashburton,Address 296,3.0,t,576080.0,SA,Ray,1/01/2016,19.20759702104369,3115.0,3.0,1.0,0.0,731.3619451430628,384.6851708003773,1943.0,Moonee Valley City Council,-37.74736309565895,144.71899963396413,Southern Metropolitan,4955.0,83.0,1497.5362809057754,4.0
Armadale,Address 297,5.0,h,1260280.0,PI,Nelson,1/01/2016,18.17811386151268,3132.0,5.0,1.0,2.0,513.4653590602755,136.1136143575107,1940.0,Moonee Valley City Council,-37.8211719240425,144.54283355717865,Southern Metropolitan,6034.0,86.0,9259.029715350867,6.0
Altona,Address 298,1.0,t,834574.0,S,Ray,1/01/2016,13.309126128613348,3195.0,5.0,3.0,3.0,598.1848542211816,295.2584227537937,1999.0,Port Phillip City Council,-37.67511035567667,145.4175917029922,Northern Metropolitan,2311.0,27.0,2826.588289052549,4.0
Albert Park,Address 299,5.0,t,2545177.0,PI,Nelson,1/01/2016,8.525267384211086,3000.0,1.0,3.0,1.0,898.4372873689377,207.76863652398868,2004.0,Port Phillip City Council,-37.93913199793184,145.27230308287267,Western Metropolitan,3623.0,22.0,12250.053918538073,8.0
Altona North,Address 300,5.0,t,1979458.0,PI,Nelson,1/01/2016,9.605922759924855,3158.0,1.0,2.0,0.0,598.0732335774812,132.54351201453494,1967.0,Port Phillip City Council,-37.95640910328631,145.02547408573696,Northern Metropolitan,5762.0,59.0,14934.401314060015,7.0
Airport West,Address 301,1.0,h,801348.0,SP,Jellis,1/01/2016,12.860035978377551,3099.0,4.0,3.0,2.0,814.5453160992022,342.08113518883346,1983.0,Yarra City Council,-37.69835837503704,145.0629523737758,Southern Metropolitan,3535.0,43.0,2342.567062511778,4.0
Abbotsford,Address 302,5.0,t,1635482.0,SA,Marshall,1/01/2016,7.880034746822561,3149.0,4.0,3.0,0.0,646.3666400350733,314.6559909455918,1926.0,Moonee Valley City Council,-37.6120658334193,144.64424268434996,Southern Metropolitan,1455.0,100.0,5197.682698127292,8.0
Ascot Vale,Address 303,4.0,t,1186593.0,SA,Nelson,1/01/2016,6.495895104638107,3054.0,1.0,3.0,2.0,386.82067477512777,69.10654479653915,1996.0,Yarra City Council,-37.71231899484273,144.5826403747695,Western Metropolitan,2879.0,30.0,17170.486579722972,7.0
Albert Park,Address 304,5.0,h,533764.0,S,Biggin,1/01/2016,14.949514239002394,3199.0,5.0,3.0,1.0,310.58213053503334,158.92044811079023,2013.0,Yarra City Council,-37.66209861188625,144.9443158367204,Western Metropolitan,2291.0,13.0,3358.686728770676,8.0
Alphington,Address 305,2.0,u,2469822.0,SP,Biggin,1/01/2016,13.597949601029896,3155.0,3.0,1.0,0.0,522.5426206306378,296.7249425754779,1956.0,Yarra City Council,-37.51425483910191,144.98474929063798,Southern Metropolitan,5324.0,70.0,8323.607643370768,3.0
Armadale,Address 306,3.0,t,1339286.0,S,Jellis,1/01/2016,9.602813232112908,3161.0,2.0,1.0,2.0,629.4966127158445,77.16047509603149,1959.0,Yarra City Council,-37.775773476538845,144.71826351759915,Northern Metropolitan,2564.0,67.0,17357.15077354263,4.0
Ashburton,Address 307,4.0,t,598683.0,SA,Marshall,1/01/2016,6.494709670526879,3010.0,2.0,2.0,0.0,339.0863520670981,381.425922607306,1967.0,Yarra City Council,-37.82895689463789,144.5618169667124,Southern Metropolitan,4479.0,59.0,1569.5917988677693,6.0
Altona,Address 308,1.0,u,990635.0,S,Biggin,1/01/2016,4.975346923727237,3048.0,1.0,2.0,0.0,311.8628661131878,219.4803086895419,1981.0,Port Phillip City Council,-37.95280715529464,144.89337359281342,Western Metropolitan,4046.0,45.0,4513.548417690936,3.0
Ascot Vale,Address 309,5.0,h,2466510.0,PI,Biggin,1/01/2016,11.454871304991396,3108.0,2.0,3.0,1.0,326.66311073344195,168.01319219424488,2008.0,Port Phillip City Council,-37.675630776033046,144.99644743724636,Southern Metropolitan,4572.0,18.0,14680.454360681373,8.0
Armadale,Address 310,5.0,u,681224.0,S,Jellis,1/01/2016,18.497530527116112,3139.0,4.0,1.0,2.0,619.1667776959833,191.40403802906556,1988.0,Yarra City Council,-37.86299552789953,144.74826405635665,Western Metropolitan,8371.0,38.0,3559.088967060105,6.0
Ashburton,Address 311,2.0,h,2267847.0,SA,Marshall,1/01/2016,8.428938796946936,3173.0,4.0,2.0,2.0,342.8572498734802,269.6821574379935,2007.0,Moonee Valley City Council,-37.96334490661901,144.9811877927203,Southern Metropolitan,9947.0,19.0,8409.332755065316,4.0
Altona North,Address 312,4.0,t,784307.0,S,Ray,1/01/2016,2.2942070226464173,3090.0,3.0,2.0,3.0,278.11007795460887,395.2544406614687,1931.0,Yarra City Council,-37.89965088890257,145.21347589481843,Northern Metropolitan,1821.0,95.0,1984.309141947758,6.0
